query,function_call
Tôi muốn xem thông tin nghỉ phép tháng 12 năm ngoái.,"get(departments='employee', content='leave_request', id='leave_request_299', type_of_time='month', specific_time='2025-06-01')"
Mình muốn loại bỏ hóa đơn khỏi hệ thống.,"delete(departments='accountant', content='invoice', id='invoice_791', type_of_time='range', specific_time='2025-06-09 to 2025-06-20')"
Tôi muốn đối chiếu dự án từ ngày 1 đến ngày 15.,"compare(departments='hr', content='project', id='project_150', type_of_time='range', specific_time='2025-06-03 to 2025-06-29')"
Bạn có thể cho biết dự đoán của nhiệm vụ không? ba tháng gần đây.,"predict(departments='accountant', content='task', id='task_806', type_of_time='range', specific_time='2025-06-08 to 2025-06-14')"
Tôi muốn thêm chấm công.,"add(departments='employee', content='attendance', id='attendance_199', type_of_time='year', specific_time='2025-01-01')"
Bạn kiểm tra giúp tôi nhân viên nhé ba tháng gần đây.,"get(departments='employee', content='employee', id='employee_208', type_of_time='range', specific_time='2025-05-21 to 2025-05-24')"
Mình muốn loại bỏ nhân viên khỏi hệ thống.,"delete(departments='employee', content='employee', id='employee_951', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đối chiếu chấm công từ ngày 1 đến ngày 15.,"compare(departments='manager', content='attendance', id='attendance_691', type_of_time='range', specific_time='2025-05-19 to 2025-06-09')"
Cho tôi dự đoán về báo cáo tháng trước.,"predict(departments='finance', content='report', id='report_375', type_of_time='month', specific_time='2025-06-01')"
Làm ơn thêm một hóa đơn mới giúp tôi.,"add(departments='finance', content='invoice', id='invoice_745', type_of_time='year', specific_time='2025-01-01')"
Cho tôi biết về nhiệm vụ được không? ba tháng gần đây.,"get(departments='accountant', content='task', id='task_661', type_of_time='range', specific_time='2025-05-29 to 2025-06-27')"
Làm ơn gỡ bỏ nghỉ phép này giúp tôi.,"delete(departments='employee', content='leave_request', id='leave_request_962', type_of_time='year', specific_time='2025-01-01')"
So sánh các hóa đơn giúp tôi với trong quý trước.,"compare(departments='hr', content='invoice', id='invoice_431', type_of_time='range', specific_time='2025-05-20 to 2025-06-06')"
Tôi muốn biết dự báo về nhân viên tháng 12 năm ngoái.,"predict(departments='finance', content='employee', id='employee_771', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể giúp tôi thêm nhiệm vụ không?,"add(departments='finance', content='task', id='task_786', type_of_time='range', specific_time='2025-05-15 to 2025-06-10')"
Tôi muốn xem thông tin nhân viên năm ngoái.,"get(departments='hr', content='employee', id='employee_927', type_of_time='year', specific_time='2025-01-01')"
Làm ơn gỡ bỏ nhân viên này giúp tôi.,"delete(departments='employee', content='employee', id='employee_392', type_of_time='year', specific_time='2025-01-01')"
Mình cần so sánh tình trạng nhân viên hôm qua.,"compare(departments='hr', content='employee', id='employee_747', type_of_time='day', specific_time='2025-02-23')"
Bạn có thể dự đoán nhiệm vụ giúp tôi không? tháng 12 năm ngoái.,"predict(departments='employee', content='task', id='task_17', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn thêm nhân viên.,"add(departments='manager', content='employee', id='employee_372', type_of_time='month', specific_time='2025-06-01')"
Cho tôi biết về nghỉ phép được không? ngày 15 tháng 5.,"get(departments='employee', content='leave_request', id='leave_request_282', type_of_time='day', specific_time='2024-07-20')"
Bạn có thể xóa nhiệm vụ giùm tôi không?,"delete(departments='employee', content='task', id='task_483', type_of_time='year', specific_time='2025-01-01')"
Bạn giúp tôi so sánh các hóa đơn này nhé năm ngoái.,"compare(departments='employee', content='invoice', id='invoice_83', type_of_time='year', specific_time='2025-01-01')"
Mình cần ước tính dự án trong thời gian tới năm tới.,"predict(departments='accountant', content='project', id='project_18', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn thêm nhiệm vụ.,"add(departments='finance', content='task', id='task_165', type_of_time='year', specific_time='2025-01-01')"
Cho tôi biết về nghỉ phép được không? từ ngày 1 đến ngày 15.,"get(departments='manager', content='leave_request', id='leave_request_268', type_of_time='range', specific_time='2025-05-29 to 2025-06-03')"
Tôi cần hủy hiệu suất.,"delete(departments='hr', content='performance', id='performance_630', type_of_time='range', specific_time='2025-06-04 to 2025-06-09')"
So sánh các hiệu suất giúp tôi với ngày 15 tháng 5.,"compare(departments='finance', content='performance', id='performance_969', type_of_time='day', specific_time='2025-05-30')"
Bạn có thể dự đoán hiệu suất giúp tôi không? tháng này.,"predict(departments='employee', content='performance', id='performance_718', type_of_time='month', specific_time='2025-06-01')"
Làm ơn thêm một nhân viên mới giúp tôi.,"add(departments='finance', content='employee', id='employee_213', type_of_time='year', specific_time='2025-01-01')"
Tôi cần tra cứu chấm công tháng 12 năm ngoái.,"get(departments='accountant', content='attendance', id='attendance_662', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể xóa nhân viên giùm tôi không?,"delete(departments='manager', content='employee', id='employee_722', type_of_time='day', specific_time='2024-07-07')"
Bạn giúp tôi so sánh các chấm công này nhé tháng này.,"compare(departments='accountant', content='attendance', id='attendance_81', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn biết dự báo về nhiệm vụ năm 2024.,"predict(departments='hr', content='task', id='task_742', type_of_time='year', specific_time='2025-01-01')"
Làm ơn thêm một hiệu suất mới giúp tôi.,"add(departments='accountant', content='performance', id='performance_414', type_of_time='year', specific_time='2025-01-01')"
Tôi cần tra cứu nghỉ phép từ ngày 1 đến ngày 15.,"get(departments='manager', content='leave_request', id='leave_request_183', type_of_time='range', specific_time='2025-05-13 to 2025-05-29')"
Tôi muốn xóa hiệu suất.,"delete(departments='manager', content='performance', id='performance_470', type_of_time='year', specific_time='2025-01-01')"
So sánh các dự án giúp tôi với hai tuần qua.,"compare(departments='hr', content='project', id='project_518', type_of_time='range', specific_time='2025-05-12 to 2025-05-30')"
Cho tôi dự đoán về hóa đơn ngày 1 tháng 6.,"predict(departments='accountant', content='invoice', id='invoice_185', type_of_time='day', specific_time='2024-09-11')"
Tôi muốn đăng ký nhân viên.,"add(departments='employee', content='employee', id='employee_953', type_of_time='year', specific_time='2025-01-01')"
Mình muốn biết tình hình dự án năm nay.,"get(departments='manager', content='project', id='project_944', type_of_time='year', specific_time='2025-01-01')"
Tôi cần hủy hóa đơn.,"delete(departments='employee', content='invoice', id='invoice_280', type_of_time='range', specific_time='2025-05-30 to 2025-06-19')"
Mình cần so sánh tình trạng báo cáo ba tháng gần đây.,"compare(departments='hr', content='report', id='report_711', type_of_time='range', specific_time='2025-05-19 to 2025-06-14')"
Tôi muốn biết dự báo về báo cáo ngày 15 tháng 5.,"predict(departments='employee', content='report', id='report_64', type_of_time='day', specific_time='2025-01-02')"
Tôi muốn đăng ký báo cáo.,"add(departments='hr', content='report', id='report_116', type_of_time='day', specific_time='2024-09-20')"
Tôi muốn xem thông tin nhiệm vụ năm tới.,"get(departments='accountant', content='task', id='task_307', type_of_time='year', specific_time='2025-01-01')"
Làm ơn gỡ bỏ hóa đơn này giúp tôi.,"delete(departments='finance', content='invoice', id='invoice_538', type_of_time='day', specific_time='2024-08-15')"
Tôi muốn đối chiếu báo cáo hai tuần qua.,"compare(departments='hr', content='report', id='report_580', type_of_time='range', specific_time='2025-05-21 to 2025-06-12')"
Cho tôi dự đoán về hóa đơn năm 2025.,"predict(departments='accountant', content='invoice', id='invoice_222', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn thêm nhiệm vụ.,"add(departments='hr', content='task', id='task_311', type_of_time='range', specific_time='2025-05-22 to 2025-06-19')"
Mình muốn biết tình hình hóa đơn tháng 5 năm nay.,"get(departments='hr', content='invoice', id='invoice_479', type_of_time='month', specific_time='2025-06-01')"
Làm ơn gỡ bỏ nhiệm vụ này giúp tôi.,"delete(departments='employee', content='task', id='task_380', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn đối chiếu nghỉ phép năm nay.,"compare(departments='accountant', content='leave_request', id='leave_request_630', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể dự đoán chấm công giúp tôi không? năm 2025.,"predict(departments='employee', content='attendance', id='attendance_730', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn thêm nhiệm vụ.,"add(departments='finance', content='task', id='task_950', type_of_time='range', specific_time='2025-05-12 to 2025-05-25')"
Bạn kiểm tra giúp tôi nghỉ phép nhé trong quý trước.,"get(departments='manager', content='leave_request', id='leave_request_216', type_of_time='range', specific_time='2025-05-18 to 2025-06-15')"
Tôi cần hủy nhân viên.,"delete(departments='accountant', content='employee', id='employee_915', type_of_time='range', specific_time='2025-06-01 to 2025-06-03')"
Bạn giúp tôi so sánh các dự án này nhé năm tới.,"compare(departments='finance', content='project', id='project_555', type_of_time='year', specific_time='2025-01-01')"
Cho tôi dự đoán về chấm công ngày 15 tháng 5.,"predict(departments='employee', content='attendance', id='attendance_426', type_of_time='day', specific_time='2025-03-26')"
Làm ơn thêm một hóa đơn mới giúp tôi.,"add(departments='hr', content='invoice', id='invoice_713', type_of_time='day', specific_time='2024-12-21')"
Mình muốn biết tình hình chấm công năm ngoái.,"get(departments='accountant', content='attendance', id='attendance_435', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể xóa nhân viên giùm tôi không?,"delete(departments='employee', content='employee', id='employee_408', type_of_time='day', specific_time='2025-05-25')"
Mình cần so sánh tình trạng nhân viên ngày mai.,"compare(departments='accountant', content='employee', id='employee_40', type_of_time='day', specific_time='2024-08-18')"
Cho tôi dự đoán về nhân viên tháng trước.,"predict(departments='employee', content='employee', id='employee_345', type_of_time='month', specific_time='2025-06-01')"
Làm ơn thêm một dự án mới giúp tôi.,"add(departments='employee', content='project', id='project_902', type_of_time='day', specific_time='2024-09-26')"
Cho tôi biết về nhiệm vụ được không? tháng trước.,"get(departments='employee', content='task', id='task_684', type_of_time='month', specific_time='2025-06-01')"
Tôi cần hủy báo cáo.,"delete(departments='finance', content='report', id='report_787', type_of_time='month', specific_time='2025-06-01')"
So sánh các báo cáo giúp tôi với tháng trước.,"compare(departments='hr', content='report', id='report_428', type_of_time='month', specific_time='2025-06-01')"
Mình cần ước tính nghỉ phép trong thời gian tới hôm qua.,"predict(departments='accountant', content='leave_request', id='leave_request_405', type_of_time='day', specific_time='2025-04-23')"
Mình cần tạo mới một hóa đơn.,"add(departments='employee', content='invoice', id='invoice_759', type_of_time='month', specific_time='2025-06-01')"
Bạn kiểm tra giúp tôi hóa đơn nhé từ đầu tháng đến nay.,"get(departments='accountant', content='invoice', id='invoice_490', type_of_time='range', specific_time='2025-05-22 to 2025-06-15')"
Bạn có thể xóa hóa đơn giùm tôi không?,"delete(departments='finance', content='invoice', id='invoice_704', type_of_time='day', specific_time='2025-05-18')"
So sánh các hiệu suất giúp tôi với ngày 1 tháng 6.,"compare(departments='employee', content='performance', id='performance_735', type_of_time='day', specific_time='2025-01-22')"
Bạn có thể cho biết dự đoán của hiệu suất không? năm 2025.,"predict(departments='finance', content='performance', id='performance_103', type_of_time='year', specific_time='2025-01-01')"
Làm ơn thêm một dự án mới giúp tôi.,"add(departments='finance', content='project', id='project_966', type_of_time='month', specific_time='2025-06-01')"
Tôi cần tra cứu nhiệm vụ hai tuần qua.,"get(departments='finance', content='task', id='task_508', type_of_time='range', specific_time='2025-06-02 to 2025-06-07')"
Bạn có thể xóa dự án giùm tôi không?,"delete(departments='hr', content='project', id='project_567', type_of_time='month', specific_time='2025-06-01')"
So sánh các nhiệm vụ giúp tôi với năm ngoái.,"compare(departments='accountant', content='task', id='task_836', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể dự đoán dự án giúp tôi không? trong quý trước.,"predict(departments='manager', content='project', id='project_269', type_of_time='range', specific_time='2025-05-30 to 2025-06-25')"
Tôi muốn thêm nhiệm vụ.,"add(departments='manager', content='task', id='task_425', type_of_time='year', specific_time='2025-01-01')"
Tôi cần tra cứu nhiệm vụ hôm nay.,"get(departments='finance', content='task', id='task_291', type_of_time='day', specific_time='2025-01-20')"
Bạn có thể xóa nghỉ phép giùm tôi không?,"delete(departments='hr', content='leave_request', id='leave_request_395', type_of_time='day', specific_time='2024-11-07')"
Bạn giúp tôi so sánh các chấm công này nhé năm ngoái.,"compare(departments='hr', content='attendance', id='attendance_784', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể dự đoán hóa đơn giúp tôi không? tháng trước.,"predict(departments='hr', content='invoice', id='invoice_951', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn thêm chấm công.,"add(departments='accountant', content='attendance', id='attendance_818', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn xem thông tin nhiệm vụ tháng 12 năm ngoái.,"get(departments='employee', content='task', id='task_691', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể xóa dự án giùm tôi không?,"delete(departments='manager', content='project', id='project_642', type_of_time='range', specific_time='2025-05-10 to 2025-06-02')"
Tôi muốn đối chiếu nhiệm vụ tháng này.,"compare(departments='accountant', content='task', id='task_139', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể dự đoán nghỉ phép giúp tôi không? tháng 5 năm nay.,"predict(departments='manager', content='leave_request', id='leave_request_696', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể giúp tôi thêm nghỉ phép không?,"add(departments='accountant', content='leave_request', id='leave_request_995', type_of_time='year', specific_time='2025-01-01')"
Bạn kiểm tra giúp tôi hóa đơn nhé tháng 12 năm ngoái.,"get(departments='manager', content='invoice', id='invoice_930', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể xóa nhiệm vụ giùm tôi không?,"delete(departments='employee', content='task', id='task_453', type_of_time='year', specific_time='2025-01-01')"
So sánh các chấm công giúp tôi với năm ngoái.,"compare(departments='employee', content='attendance', id='attendance_453', type_of_time='year', specific_time='2025-01-01')"
Mình cần ước tính dự án trong thời gian tới từ ngày 1 đến ngày 15.,"predict(departments='manager', content='project', id='project_796', type_of_time='range', specific_time='2025-06-07 to 2025-07-02')"
Bạn có thể giúp tôi thêm nhân viên không?,"add(departments='hr', content='employee', id='employee_574', type_of_time='year', specific_time='2025-01-01')"
Mình muốn biết tình hình chấm công hôm nay.,"get(departments='employee', content='attendance', id='attendance_554', type_of_time='day', specific_time='2025-01-23')"
Tôi muốn xóa nhân viên.,"delete(departments='employee', content='employee', id='employee_525', type_of_time='year', specific_time='2025-01-01')"
Bạn giúp tôi so sánh các nhân viên này nhé hai tuần qua.,"compare(departments='accountant', content='employee', id='employee_635', type_of_time='range', specific_time='2025-05-11 to 2025-05-17')"
Tôi muốn biết dự báo về dự án hôm nay.,"predict(departments='accountant', content='project', id='project_748', type_of_time='day', specific_time='2024-09-24')"
Mình cần tạo mới một hóa đơn.,"add(departments='employee', content='invoice', id='invoice_897', type_of_time='year', specific_time='2025-01-01')"
Cho tôi biết về nhiệm vụ được không? từ ngày 1 đến ngày 15.,"get(departments='employee', content='task', id='task_994', type_of_time='range', specific_time='2025-05-12 to 2025-05-13')"
Làm ơn gỡ bỏ báo cáo này giúp tôi.,"delete(departments='employee', content='report', id='report_552', type_of_time='day', specific_time='2024-12-08')"
Tôi muốn đối chiếu nhiệm vụ từ đầu tháng đến nay.,"compare(departments='hr', content='task', id='task_502', type_of_time='range', specific_time='2025-06-03 to 2025-06-15')"
Cho tôi dự đoán về nghỉ phép từ ngày 1 đến ngày 15.,"predict(departments='employee', content='leave_request', id='leave_request_79', type_of_time='range', specific_time='2025-05-14 to 2025-06-09')"
Tôi muốn đăng ký nhân viên.,"add(departments='accountant', content='employee', id='employee_965', type_of_time='range', specific_time='2025-06-06 to 2025-06-22')"
Tôi cần tra cứu hóa đơn hôm qua.,"get(departments='accountant', content='invoice', id='invoice_864', type_of_time='day', specific_time='2024-06-18')"
Tôi cần hủy hiệu suất.,"delete(departments='employee', content='performance', id='performance_209', type_of_time='day', specific_time='2024-11-18')"
Bạn giúp tôi so sánh các chấm công này nhé tháng 5 năm nay.,"compare(departments='hr', content='attendance', id='attendance_124', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể dự đoán nhân viên giúp tôi không? năm ngoái.,"predict(departments='manager', content='employee', id='employee_401', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn thêm nghỉ phép.,"add(departments='employee', content='leave_request', id='leave_request_358', type_of_time='range', specific_time='2025-05-28 to 2025-05-29')"
Tôi muốn xem thông tin nghỉ phép ngày mai.,"get(departments='manager', content='leave_request', id='leave_request_914', type_of_time='day', specific_time='2024-10-23')"
Làm ơn gỡ bỏ dự án này giúp tôi.,"delete(departments='employee', content='project', id='project_275', type_of_time='month', specific_time='2025-06-01')"
Bạn giúp tôi so sánh các báo cáo này nhé tháng trước.,"compare(departments='employee', content='report', id='report_766', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể cho biết dự đoán của nhân viên không? trong quý trước.,"predict(departments='finance', content='employee', id='employee_486', type_of_time='range', specific_time='2025-05-24 to 2025-06-17')"
Làm ơn thêm một dự án mới giúp tôi.,"add(departments='finance', content='project', id='project_959', type_of_time='year', specific_time='2025-01-01')"
Mình muốn biết tình hình nhân viên năm ngoái.,"get(departments='employee', content='employee', id='employee_295', type_of_time='year', specific_time='2025-01-01')"
Mình muốn loại bỏ báo cáo khỏi hệ thống.,"delete(departments='finance', content='report', id='report_310', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn biết sự khác biệt giữa các dự án từ đầu tháng đến nay.,"compare(departments='accountant', content='project', id='project_697', type_of_time='range', specific_time='2025-05-13 to 2025-06-10')"
Cho tôi dự đoán về nghỉ phép tháng này.,"predict(departments='finance', content='leave_request', id='leave_request_926', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể giúp tôi thêm nghỉ phép không?,"add(departments='accountant', content='leave_request', id='leave_request_937', type_of_time='day', specific_time='2025-01-18')"
Tôi cần tra cứu hóa đơn ngày 15 tháng 5.,"get(departments='accountant', content='invoice', id='invoice_551', type_of_time='day', specific_time='2024-08-05')"
Tôi muốn xóa báo cáo.,"delete(departments='accountant', content='report', id='report_37', type_of_time='day', specific_time='2024-12-15')"
So sánh các báo cáo giúp tôi với hôm qua.,"compare(departments='hr', content='report', id='report_870', type_of_time='day', specific_time='2025-01-24')"
Mình cần ước tính nghỉ phép trong thời gian tới từ đầu tháng đến nay.,"predict(departments='hr', content='leave_request', id='leave_request_549', type_of_time='range', specific_time='2025-05-27 to 2025-05-31')"
Làm ơn thêm một nghỉ phép mới giúp tôi.,"add(departments='finance', content='leave_request', id='leave_request_640', type_of_time='year', specific_time='2025-01-01')"
Bạn kiểm tra giúp tôi nhân viên nhé tháng trước.,"get(departments='finance', content='employee', id='employee_804', type_of_time='month', specific_time='2025-06-01')"
Tôi cần hủy nghỉ phép.,"delete(departments='accountant', content='leave_request', id='leave_request_979', type_of_time='year', specific_time='2025-01-01')"
Bạn giúp tôi so sánh các báo cáo này nhé năm nay.,"compare(departments='manager', content='report', id='report_719', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn biết dự báo về chấm công tháng 12 năm ngoái.,"predict(departments='accountant', content='attendance', id='attendance_84', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn thêm dự án.,"add(departments='finance', content='project', id='project_752', type_of_time='month', specific_time='2025-06-01')"
Mình muốn biết tình hình nhiệm vụ hôm nay.,"get(departments='employee', content='task', id='task_621', type_of_time='day', specific_time='2025-04-28')"
Mình muốn loại bỏ nhân viên khỏi hệ thống.,"delete(departments='finance', content='employee', id='employee_476', type_of_time='year', specific_time='2025-01-01')"
So sánh các báo cáo giúp tôi với năm nay.,"compare(departments='manager', content='report', id='report_877', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể cho biết dự đoán của hóa đơn không? hôm nay.,"predict(departments='hr', content='invoice', id='invoice_596', type_of_time='day', specific_time='2025-03-30')"
Làm ơn thêm một nghỉ phép mới giúp tôi.,"add(departments='accountant', content='leave_request', id='leave_request_577', type_of_time='month', specific_time='2025-06-01')"
Tôi cần tra cứu hiệu suất từ đầu tháng đến nay.,"get(departments='hr', content='performance', id='performance_208', type_of_time='range', specific_time='2025-06-04 to 2025-06-08')"
Làm ơn gỡ bỏ báo cáo này giúp tôi.,"delete(departments='accountant', content='report', id='report_430', type_of_time='range', specific_time='2025-05-30 to 2025-06-20')"
Tôi muốn đối chiếu dự án tháng này.,"compare(departments='hr', content='project', id='project_423', type_of_time='month', specific_time='2025-06-01')"
Mình cần ước tính chấm công trong thời gian tới năm ngoái.,"predict(departments='employee', content='attendance', id='attendance_874', type_of_time='year', specific_time='2025-01-01')"
Làm ơn thêm một báo cáo mới giúp tôi.,"add(departments='manager', content='report', id='report_186', type_of_time='month', specific_time='2025-06-01')"
Mình muốn biết tình hình chấm công ngày 15 tháng 5.,"get(departments='finance', content='attendance', id='attendance_924', type_of_time='day', specific_time='2024-09-17')"
Mình muốn loại bỏ dự án khỏi hệ thống.,"delete(departments='employee', content='project', id='project_968', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đối chiếu hóa đơn tháng 5 năm nay.,"compare(departments='accountant', content='invoice', id='invoice_744', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn biết dự báo về báo cáo hôm qua.,"predict(departments='finance', content='report', id='report_217', type_of_time='day', specific_time='2024-11-18')"
Tôi muốn đăng ký nhiệm vụ.,"add(departments='hr', content='task', id='task_737', type_of_time='range', specific_time='2025-05-12 to 2025-05-27')"
Mình muốn biết tình hình nghỉ phép ba tháng gần đây.,"get(departments='hr', content='leave_request', id='leave_request_840', type_of_time='range', specific_time='2025-05-22 to 2025-05-27')"
Tôi cần hủy hóa đơn.,"delete(departments='employee', content='invoice', id='invoice_860', type_of_time='range', specific_time='2025-05-12 to 2025-05-24')"
Bạn giúp tôi so sánh các nhiệm vụ này nhé năm 2025.,"compare(departments='finance', content='task', id='task_248', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể dự đoán nghỉ phép giúp tôi không? năm 2024.,"predict(departments='manager', content='leave_request', id='leave_request_870', type_of_time='year', specific_time='2025-01-01')"
Làm ơn thêm một chấm công mới giúp tôi.,"add(departments='employee', content='attendance', id='attendance_77', type_of_time='range', specific_time='2025-05-11 to 2025-06-03')"
Tôi cần tra cứu hiệu suất tháng 6.,"get(departments='manager', content='performance', id='performance_364', type_of_time='month', specific_time='2025-06-01')"
Mình muốn loại bỏ hóa đơn khỏi hệ thống.,"delete(departments='hr', content='invoice', id='invoice_716', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn đối chiếu nghỉ phép hai tuần qua.,"compare(departments='finance', content='leave_request', id='leave_request_428', type_of_time='range', specific_time='2025-05-31 to 2025-06-25')"
Bạn có thể cho biết dự đoán của dự án không? ba tháng gần đây.,"predict(departments='hr', content='project', id='project_200', type_of_time='range', specific_time='2025-05-14 to 2025-06-10')"
Tôi muốn đăng ký nghỉ phép.,"add(departments='hr', content='leave_request', id='leave_request_386', type_of_time='month', specific_time='2025-06-01')"
Cho tôi biết về chấm công được không? tháng trước.,"get(departments='hr', content='attendance', id='attendance_552', type_of_time='month', specific_time='2025-06-01')"
Mình muốn loại bỏ nhiệm vụ khỏi hệ thống.,"delete(departments='hr', content='task', id='task_354', type_of_time='range', specific_time='2025-05-26 to 2025-06-16')"
Tôi muốn đối chiếu hóa đơn hôm nay.,"compare(departments='hr', content='invoice', id='invoice_927', type_of_time='day', specific_time='2025-01-20')"
Mình cần ước tính nhiệm vụ trong thời gian tới ba tháng gần đây.,"predict(departments='hr', content='task', id='task_530', type_of_time='range', specific_time='2025-06-07 to 2025-06-13')"
Mình cần tạo mới một nhiệm vụ.,"add(departments='accountant', content='task', id='task_168', type_of_time='month', specific_time='2025-06-01')"
Bạn kiểm tra giúp tôi hiệu suất nhé tháng 5 năm nay.,"get(departments='employee', content='performance', id='performance_962', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể xóa hiệu suất giùm tôi không?,"delete(departments='employee', content='performance', id='performance_13', type_of_time='day', specific_time='2024-11-10')"
Tôi muốn biết sự khác biệt giữa các chấm công tháng 6.,"compare(departments='employee', content='attendance', id='attendance_356', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn biết dự báo về nhân viên trong quý trước.,"predict(departments='hr', content='employee', id='employee_358', type_of_time='range', specific_time='2025-05-25 to 2025-06-07')"
Tôi muốn thêm hóa đơn.,"add(departments='employee', content='invoice', id='invoice_409', type_of_time='year', specific_time='2025-01-01')"
Bạn kiểm tra giúp tôi hóa đơn nhé năm 2025.,"get(departments='hr', content='invoice', id='invoice_42', type_of_time='year', specific_time='2025-01-01')"
Mình muốn loại bỏ hiệu suất khỏi hệ thống.,"delete(departments='manager', content='performance', id='performance_609', type_of_time='year', specific_time='2025-01-01')"
Bạn giúp tôi so sánh các hiệu suất này nhé tháng 12 năm ngoái.,"compare(departments='hr', content='performance', id='performance_208', type_of_time='month', specific_time='2025-06-01')"
Mình cần ước tính chấm công trong thời gian tới từ đầu tháng đến nay.,"predict(departments='finance', content='attendance', id='attendance_293', type_of_time='range', specific_time='2025-06-06 to 2025-06-10')"
Tôi muốn thêm chấm công.,"add(departments='accountant', content='attendance', id='attendance_511', type_of_time='month', specific_time='2025-06-01')"
Tôi cần tra cứu chấm công tháng 6.,"get(departments='accountant', content='attendance', id='attendance_789', type_of_time='month', specific_time='2025-06-01')"
Tôi cần hủy nhiệm vụ.,"delete(departments='finance', content='task', id='task_374', type_of_time='day', specific_time='2024-09-26')"
Bạn giúp tôi so sánh các chấm công này nhé tháng này.,"compare(departments='accountant', content='attendance', id='attendance_794', type_of_time='month', specific_time='2025-06-01')"
Cho tôi dự đoán về chấm công hôm nay.,"predict(departments='manager', content='attendance', id='attendance_84', type_of_time='day', specific_time='2025-05-10')"
Mình cần tạo mới một nhiệm vụ.,"add(departments='hr', content='task', id='task_629', type_of_time='year', specific_time='2025-01-01')"
Bạn kiểm tra giúp tôi chấm công nhé tháng 12 năm ngoái.,"get(departments='employee', content='attendance', id='attendance_488', type_of_time='month', specific_time='2025-06-01')"
Tôi cần hủy chấm công.,"delete(departments='manager', content='attendance', id='attendance_867', type_of_time='day', specific_time='2024-07-12')"
Mình cần so sánh tình trạng báo cáo trong quý trước.,"compare(departments='manager', content='report', id='report_650', type_of_time='range', specific_time='2025-05-19 to 2025-06-04')"
Mình cần ước tính dự án trong thời gian tới ngày mai.,"predict(departments='employee', content='project', id='project_831', type_of_time='day', specific_time='2024-11-02')"
Làm ơn thêm một nhân viên mới giúp tôi.,"add(departments='employee', content='employee', id='employee_656', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn xem thông tin nhiệm vụ ngày 15 tháng 5.,"get(departments='employee', content='task', id='task_920', type_of_time='day', specific_time='2025-03-16')"
Tôi cần hủy hóa đơn.,"delete(departments='employee', content='invoice', id='invoice_932', type_of_time='day', specific_time='2024-08-05')"
Tôi muốn biết sự khác biệt giữa các nghỉ phép hai tuần qua.,"compare(departments='accountant', content='leave_request', id='leave_request_850', type_of_time='range', specific_time='2025-06-04 to 2025-06-18')"
Cho tôi dự đoán về dự án năm nay.,"predict(departments='manager', content='project', id='project_174', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đăng ký hóa đơn.,"add(departments='manager', content='invoice', id='invoice_628', type_of_time='month', specific_time='2025-06-01')"
Bạn kiểm tra giúp tôi báo cáo nhé năm 2024.,"get(departments='finance', content='report', id='report_50', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn xóa nhân viên.,"delete(departments='finance', content='employee', id='employee_56', type_of_time='range', specific_time='2025-05-11 to 2025-05-22')"
So sánh các chấm công giúp tôi với từ đầu tháng đến nay.,"compare(departments='employee', content='attendance', id='attendance_589', type_of_time='range', specific_time='2025-06-08 to 2025-06-12')"
Cho tôi dự đoán về dự án năm tới.,"predict(departments='manager', content='project', id='project_764', type_of_time='year', specific_time='2025-01-01')"
Làm ơn thêm một báo cáo mới giúp tôi.,"add(departments='finance', content='report', id='report_415', type_of_time='range', specific_time='2025-06-01 to 2025-06-05')"
